zone_id,zone_num_wells,zone_center_latitude,zone_center_longitude,zone_area_km2,zone_average_gradient,zone_average_bht,Name,Api,Country,Status,Well Type,Latitude,Longitude,True Vertical Depth (ft),True Vertical Depth (km),Interpolated gradient,BHT,Suitable for 
23,8,32.18566560745239,-102.57577133178711,0.6246139791381553,23.533906911272403,90.43144372079442,"State University ""AU"" 1",4200302527,ANDREWS,Plugged & Abandoned,Unknown,32.19404602050781,-102.5743713378906,10570.0,3.222,23.55805574409894,95.90405560748678,Suitable for heat generation
23,8,32.18566560745239,-102.57577133178711,0.6246139791381553,23.533906911272403,90.43144372079442,UNIVERSITY BLK.9 /WOLFCAMP/ UNIT 6AU,4200335163,ANDREWS,Plugged & Abandoned,BLACK OIL,32.18898391723633,-102.5755996704102,8800.0,2.682,23.5434633472614,83.14356869735508,Suitable for heat generation
23,8,32.18566560745239,-102.57577133178711,0.6246139791381553,23.533906911272403,90.43144372079442,UNIVERSITY BLOCK 9 /PENN/ UNIT 41W,4200302532,ANDREWS,Plugged & Abandoned,VOLATILE OIL,32.18552398681641,-102.5787200927734,10570.0,3.222,23.53345647398962,95.82479675919456,Suitable for heat generation
23,8,32.18566560745239,-102.57577133178711,0.6246139791381553,23.533906911272403,90.43144372079442,UNIVERSITY BLK.9 /WOLFCAMP/ UNIT 2BA,4200302947,ANDREWS,Plugged & Abandoned,BLACK OIL,32.18486404418945,-102.5791549682617,9145.0,2.787,23.53155009676991,85.58243011969773,Suitable for heat generation
23,8,32.18566560745239,-102.57577133178711,0.6246139791381553,23.533906911272403,90.43144372079442,UNIVERSITY BLOCK 9 /PENN/ UNIT 47,4200305273,ANDREWS,Plugged & Abandoned,OIL WELL,32.18428421020508,-102.5694732666016,10533.0,3.21,23.53002082071906,95.53136683450818,Suitable for heat generation
23,8,32.18566560745239,-102.57577133178711,0.6246139791381553,23.533906911272403,90.43144372079442,"UNIV ""9-D"" 4",4200305278,ANDREWS,Plugged & Abandoned,OIL WELL,32.18333435058594,-102.5735931396484,9190.0,2.801,23.52722637867553,85.89976108667015,Suitable for heat generation
23,8,32.18566560745239,-102.57577133178711,0.6246139791381553,23.533906911272403,90.43144372079442,UNIVERSITY BLK.9 /WOLFCAMP/ UNIT 4BA,4200302892,ANDREWS,Plugged & Abandoned,BLACK OIL,32.1823844909668,-102.5777053833008,9150.0,2.789,23.52443204708104,85.60964097930902,Suitable for heat generation
23,8,32.18566560745239,-102.57577133178711,0.6246139791381553,23.533906911272403,90.43144372079442,"State University ""BA"" 3",4200302976,ANDREWS,Plugged & Abandoned,BLACK OIL,32.18190383911133,-102.5775527954102,10595.0,3.229,23.52305038158372,95.95592968213383,Suitable for heat generation
24,6,32.1591739654541,-102.53743235270184,0.29617288244202455,23.45818821150894,109.9069667447913,Texaco-University 9-AB-2,4200305183,ANDREWS,Plugged & Abandoned,Unknown,32.16274642944336,-102.5355606079102,12544.0,3.823,23.46850101031302,109.7200793624267,Electricity generation
24,6,32.1591739654541,-102.53743235270184,0.29617288244202455,23.45818821150894,109.9069667447913,UNIVERSITY 9 -AB- 3,4200310375,ANDREWS,Plugged & Abandoned,OIL WELL,32.16115570068359,-102.5354995727539,11820.0,3.603,23.46392192837081,104.54051070792,Electricity generation
24,6,32.1591739654541,-102.53743235270184,0.29617288244202455,23.45818821150894,109.9069667447913,"STATE OF TEXAS ""CR"" 5",4200305163,ANDREWS,Plugged & Abandoned,BLACK OIL,32.15961456298828,-102.5367584228516,12648.0,3.855,23.45946651944539,110.436243432462,Electricity generation
24,6,32.1591739654541,-102.53743235270184,0.29617288244202455,23.45818821150894,109.9069667447913,"UNIVERSITY ""W"" 1",4200305271,ANDREWS,Plugged & Abandoned,VOLATILE OIL,32.15819549560547,-102.5429382324219,12899.0,3.932,23.45529133107627,112.2262055137919,Electricity generation
24,6,32.1591739654541,-102.53743235270184,0.29617288244202455,23.45818821150894,109.9069667447913,Gulf-University 9-AA-2,4200305184,ANDREWS,Plugged & Abandoned,Unknown,32.15714645385742,-102.5348587036133,12570.0,3.831,23.45238793564201,109.8460981814445,Electricity generation
24,6,32.1591739654541,-102.53743235270184,0.29617288244202455,23.45818821150894,109.9069667447913,UNIVERSITY 9-AA- 1,4200305159,ANDREWS,Plugged & Abandoned,VOLATILE OIL,32.15618515014648,-102.5389785766602,12967.0,3.952,23.44956054420615,112.6726632707027,Electricity generation
25,5,31.509215927124025,-101.77751617431642,0.36931288359035064,22.792044089289266,79.5093112812418,SHERROD UNIT 2317,4238336666,REAGAN,Plugged & Abandoned,BLACK OIL,31.5106029510498,-101.773063659668,8715.0,2.656,22.8330949386437,80.64470015703768,Suitable for heat generation
25,5,31.509215927124025,-101.77751617431642,0.36931288359035064,22.792044089289266,79.5093112812418,SHERROD UNIT 2325W,4238336673,REAGAN,Plugged & Abandoned,WATER INJECTION,31.50709724426269,-101.77197265625,8055.0,2.455,22.81232452347462,76.00425670513019,Suitable for heat generation
