Name,Api,Country,Status,Well Type,Latitude,Longitude,True Vertical Depth (ft),True Vertical Depth (km)
G&K WEST SWD 1,4217332410,GLASSCOCK,Plugged & Abandoned,WATER DISPOSAL,31.850074768066406,-101.52722930908205,7950.0,2.423
WEAVER 8,4217334815,GLASSCOCK,Plugged & Abandoned,VOLATILE OIL,31.81776237487793,-101.6592254638672,11509.0,3.508
"COX, X. B. ""C"" 5",4217331381,GLASSCOCK,Plugged & Abandoned,VOLATILE OIL,31.67867088317871,-101.7183837890625,8589.0,2.618
COUEY B 1,4217310295,GLASSCOCK,Plugged & Abandoned,VOLATILE OIL,31.691007614135746,-101.63973999023438,8700.0,2.652
SPRABERRY DRIVER UNIT 351,4217300791,GLASSCOCK,Plugged & Abandoned,CONDENSATE,31.720590591430664,-101.69734954833984,6789.4501953125,2.069
"MCCAULEY ""6"" 1",4217333813,GLASSCOCK,Plugged & Abandoned,VOLATILE OIL,31.974349975585938,-101.5976333618164,9903.0,3.018
"KAYLINA ""18"" 3",4217334419,GLASSCOCK,Plugged & Abandoned,BLACK OIL,32.015018463134766,-101.6805419921875,10402.0,3.171
TXL -25A- 2,4217331030,GLASSCOCK,Plugged & Abandoned,BLACK OIL,31.77676773071289,-101.66033172607422,8415.0,2.565
LAZY E 1801,4217333798,GLASSCOCK,Plugged & Abandoned,BLACK OIL,32.078128814697266,-101.5376205444336,9807.0,2.989
CAMPISE-DOERING 1H,4239530509,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.970443725585938,-96.4130859375,7314.6201171875,2.229
JONES-FAZZINO UNIT 1H,4239530521,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.91961097717285,-96.39553833007812,7441.58984375,2.268
DOERING-CLOAT 1H,4239530490,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.961854934692383,-96.38702392578124,7519.02978515625,2.292
LUTZ GAS UNIT NO. 2 1,4239531602,ROBERTSON,Plugged & Abandoned,DRY GAS,31.038667678833008,-96.5827407836914,13130.0,4.002
MARATHON/T-BAR-X BRIDGES 1,4239530563,ROBERTSON,Plugged & Abandoned,Unknown,31.02155303955078,-96.38997650146484,7150.89013671875,2.18
